,lat,lon
0,-37.741471,144.918649
1,43.19255,5.61277
2,43.67121,7.20069
3,43.19255,5.61277
4,40.593751,8.167206
5,40.593768,8.166887
6,40.594124,8.166778
7,40.594321,8.166572
8,40.593983,8.167709
9,40.821021,8.519154
10,40.816728,8.488633
11,40.81535,8.484535
12,40.815339,8.484532
13,40.816359,8.488337
14,40.622444,8.314361
15,37.039717,-7.985927
16,-34.050031,18.422932
17,-34.057293,18.430266
18,-34.060855,18.426518
19,-34.060904,18.425212
20,-34.053188,18.430829
21,-34.054365,18.435452
22,-34.052234,18.426189
23,-34.050054,18.423211
24,-34.051761,18.428791
25,34.045036,-117.162231
26,34.273906,-118.614864
27,34.084153,-117.166269
28,33.980687,-117.270692
29,39.74622,-121.805887
30,39.74628,-121.805938
31,34.274374,-118.614815
33,-21.13317,55.53241
34,39.323472,-121.838013
35,39.323688,-121.83812
136,-18.9494,47.5746
137,-18.9494,47.5746
138,-15.6442,46.5004
139,-18.9127,47.5579
140,-13.4086,49.2031
141,-20.9979,55.2794
142,-13.4086,49.2031
143,-13.4086,49.2031
144,-13.4086,49.2031
397,-13.4086,49.2031
398,-13.4086,49.2031
399,-13.4086,49.2031
400,-13.4086,49.2031
401,-13.4086,49.2031
402,-13.4086,49.2031
403,-13.4086,49.2031
404,-13.4086,49.2031
405,-20.9979,55.2794
406,-21.0563,55.2655
407,-21.0563,55.2655
408,-18.0754,49.3706
409,-20.9979,55.2794
410,-13.4086,49.2031
411,-21.0563,55.2655
412,-15.6442,46.5004
413,-13.4086,49.2031
414,-18.9494,47.5746
415,-13.4086,49.2031
416,-13.4086,49.2031
417,-13.4086,49.2031
418,-13.4086,49.2031
419,34.442592,-119.847008
420,39.73867,-122.169962
421,33.969178,-117.262488
422,38.591831,-121.334385
423,34.273027,-118.614867
424,34.054376,-117.049689
425,36.826316,-2.511398
426,36.82624,-2.511472
463,38.148699,23.835011
464,39.40005,-8.538848
465,34.579304,32.983143
466,-21.13317,55.53241
467,34.273245,-118.615087
468,33.977947,-117.266792
469,34.039421,-117.104385
479,40.816728,8.488633
480,40.593983,8.167709
481,40.594124,8.166778
482,40.622444,8.314361
483,39.538568,24.989857
484,38.334842,21.867175
485,38.524886,-121.789914
486,37.851882,23.751979
508,28.259824,-105.499749
509,-32.753012,19.291512
510,28.260956,-105.497415
511,38.526725,-121.804798
512,33.939083,-117.62303
513,38.588577,-121.33344
514,34.381574,-118.612736
515,38.89208,-121.976972
516,34.042791,-117.098343
517,34.042662,-117.098899
549,39.172176,26.504388
550,39.17218,26.504399
552,39.103671,26.086885
553,37.472167,-7.472855
554,-34.246174,150.511492
555,-33.955772,150.97196
556,37.88725,23.747513
557,-34.059577,18.410955
558,34.14644,-118.053447
559,34.363332,-118.720372
560,37.472167,-7.472855
561,34.273937,-118.61499
562,34.274808,-118.61504
1079,32.284263,-111.030814
1080,32.213618,-110.923365
1081,34.27891,-118.604592
1082,34.271793,-118.759762
1083,34.190302,-118.175103
1085,-25.44,27.51
1086,-25.43,28.14
1087,-0.06,34.45
1088,36.53,6.54
1099,32.5,35.5
1100,32.5,35.5
1101,32.5,35.5
1102,32.5,35.5
1103,32.5,35.5
1104,32.5,35.5
1105,32.5,35.5
1106,32.5,35.5
1107,32.5,35.5
1108,32.5,35.5
1109,32.5,35.5
1110,32.5,35.5
