,srtm,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19,geometry,class
0,2024,6,10,29,862,22,-11,34,15,-5,16,-5,561,103,3,81,291,13,277,13,POINT (105 35),1
1,626,17,8,32,643,30,4,26,20,10,25,9,1627,280,39,59,752,149,564,188,POINT (118 26.25),1
2,16,21,7,32,595,32,8,24,27,15,28,14,1686,277,34,65,760,117,708,156,POINT (113.25 23.5),1
3,297,20,7,30,651,31,6,24,26,13,27,11,1625,280,37,65,771,134,721,197,POINT (109 24),1
4,328,23,7,42,357,30,14,16,26,18,26,18,1687,295,19,75,805,73,712,73,POINT (109.75 19.25),1
5,269,17,7,25,834,32,1,30,21,8,26,6,1669,290,43,59,787,171,548,213,POINT (115.66667 27.66667),1
6,1939,11,9,34,662,24,-3,27,19,2,19,2,936,174,11,81,489,37,489,37,POINT (102.66667 30.5),1
7,1946,16,11,47,447,25,1,23,20,10,20,10,854,169,12,82,467,41,467,41,POINT (101.5 25),1
8,702,19,6,37,376,27,10,16,23,16,23,14,2469,477,27,81,1301,110,1301,169,POINT (121 24),1
9,343,20,5,29,466,29,11,18,23,15,25,14,3102,408,155,34,1105,499,1022,500,POINT (121.588 24.998),1
10,168,20,5,30,488,30,11,19,24,16,26,14,3055,373,183,24,1001,579,860,595,POINT (121.51 25.031),1
11,106,21,6,30,499,31,11,19,25,16,26,14,2693,324,143,26,872,462,795,488,POINT (121.343 25.093),1
12,359,21,6,36,412,29,11,17,25,17,25,15,2249,470,18,92,1318,73,1318,112,POINT (120.557 23.637),1
13,359,21,6,36,412,29,11,17,25,17,25,15,2249,470,18,92,1318,73,1318,112,POINT (120.557 23.636),1
14,266,21,7,33,539,30,9,21,27,15,27,14,1876,361,31,82,1042,113,1042,114,POINT (108 22.133),1
15,203,23,7,42,372,31,14,17,27,18,27,18,1689,296,17,76,822,66,724,66,POINT (109.563 19.499),1
16,40,23,6,33,505,31,11,20,28,17,28,16,1711,300,25,71,814,101,814,101,POINT (110.083 21.267),1
17,2024,6,10,29,862,22,-11,34,15,-5,16,-5,561,103,3,81,291,13,277,13,POINT (105 35),1
18,22,22,6,30,571,32,10,22,27,16,28,14,1789,298,38,66,819,122,778,142,POINT (113 23),1
19,297,20,7,30,651,31,6,24,26,13,27,11,1625,280,37,65,771,134,721,197,POINT (109 24),1
20,281,23,7,42,360,31,14,16,26,18,27,18,1625,288,17,76,784,65,688,65,POINT (109.6 19.2),1
21,541,16,8,28,732,29,1,28,23,6,24,6,941,226,7,97,578,28,543,28,POINT (104.283333 31.166667),1
22,2298,13,11,46,465,23,0,23,18,7,18,7,940,205,8,94,553,27,553,27,POINT (102.25 26.816667),1
23,199,19,8,28,748,33,4,28,23,11,27,9,1500,243,39,53,649,151,464,205,POINT (114.716667 25.6),1
24,300,19,8,31,676,33,5,27,22,15,27,10,1597,283,40,62,765,151,535,194,POINT (117.95 26.5),1
25,2400,12,10,47,461,22,0,22,17,6,17,6,894,175,8,86,494,29,494,29,POINT (103.166667 26.1),1
26,231,21,6,31,566,31,9,21,27,15,27,13,1754,323,31,79,945,112,945,116,POINT (108.016667 22.233333),1
27,324,21,6,32,520,30,9,20,26,15,26,14,1926,381,30,84,1084,112,1084,115,POINT (107.783333 21.95),1
28,160,21,7,31,596,31,8,23,28,15,28,13,1473,243,33,67,713,119,713,136,POINT (108.283333 22.85),1
29,122,21,7,31,591,32,9,22,28,15,28,13,1450,238,30,69,711,113,711,121,POINT (108.283333 22.833333),1
30,312,21,7,33,574,31,8,23,26,15,27,13,1671,297,32,69,769,114,714,149,POINT (111.05 23.05),1
31,192,21,7,31,604,32,8,23,28,15,28,13,1684,286,40,66,805,135,805,192,POINT (108.4 23.266667),1
32,107,21,7,31,578,31,9,22,27,15,27,13,1608,263,29,66,724,114,724,141,POINT (110.016667 22.5),1
33,54,21,6,30,580,31,9,22,28,15,28,14,1655,300,27,73,830,104,830,114,POINT (109.2 21.866667),1
